Prefixes,Effects
Abiding,+100% Armor
Adventurer's,+1 to Ranged Skills
Advocate's,"+2 to Nurturing Gift, +2 to Enveloping Embrace, +2 to Feral Wrath"
Affluent,+70% Gold Dropped
Amethyst,+25% Death Resistance
Annihilating,+20% Combat Magic Damage
Aquamancer's,"+4 to Aquatic Affinity, +4 to Arctic Mastery, +4 to Freezing"
Arboreal,+25% Nature Magic Damage
Archer's,"+2 to Biting Arrow, +2 to Far Shot, +2 to Shockwave"
Arctic,Adds 13 to 22 Ice Damage
Assassin's,"+2 to Quick Draw, +2 to Bleed, +2 to Penetrate"
Azure,+10% Ice Resistance
Barbarian's,"+3 to Fortitude, +3 to Overbear, +3 to Smite"
Beastwalker's,"+4 to Summon Fortitude, +4 to Summon Might, +4 to Summon Bond"
Berserker's,"+4 to Fortitude, +4 to Overbear, +4 to Smite"
Beryl,+14% Ice Resistance
Bestial,+15% Nature Magic Damage
Blazing,"+2 to Devastation, +2 to Searing Flames, +2 to Ignite"
Blightwalker's,"+4 to Debilitation, +4 to Grim Necromancy, +4 to Vampirism"
Blinding,"+3 to Brilliance, +3 to Amplified Lightning, +3 to Arcing"
Blistering,Adds 25 to 30 Fire Damage
Bloodshot,+22% Fire Resistance
Blue,+18% Ice Resistance
Blundered,-2 Armor
Blurring,+15% Ranged Resistance
Boreal,Adds 27 to 45 Ice Damage
Brawler's,"+2 to Fortitude, +2 to Overbear, +2 to Smite"
Caliginous,Adds 24 to 40 Death Damage
Caller's,"+2 to Summon Fortitude, +2 to Summon Might, +2 to Summon Bond"
Callous,+20% Damage (Melee)
Carbonizing,Adds 25 to 30 Fire Damage
Cauterizing,Adds 10 to 12 Fire Damage
Cerulean,+22% Ice Resistance
Champion's,+2 to Melee Skills
Charged,Adds 6 to 20 Lightning Damage
Charmed,+8% Chance to Find Magic Items
Chilling,Adds 3 to 4 Ice Damage
Confounding,+18% Ranged Resistance
Corrupt,Adds 6 to 12 Death Damage
Cremating,Adds 36 to 46 Fire Damage
Crimson,+10% Fire Resistance
Cruel,+10% Damage (Melee)
Crystalline,+22% Lightning Resistance
Daunting,+9% Melee Resistance
Dawn,+15% Magic Damage Resistance
Dazzling,Adds 12 to 32 Lightning Damage
Demolishing,+24% Combat Magic Damage
Depraved,Adds 24 to 40 Death Damage
Desolate,Adds 16 to 28 Death Damage
Destructive,+4% Combat Magic Damage
Devastating,+15% Combat Magic Damage
Disorienting,+8% Ranged resistance
Dispiriting,Adds 6 to 12 Death Damage
Displacing,+20% Ranged Resistance
Druid's,+2 to Nature Magic Skills
Durable,+22 Armor
Duelist's,"+2 to Critical Strike, +2 to Dual Wield, +2 to Alacrity"
Electrified,Adds 4 to 12 Lightning Damage
Energizing,+7% Power Recharge Rate
Enforced,+8 Armor
Eradicating,+8% Combat Magic Damage
Eternal,+115% Armor
Excruciating,+56% Damage (Melee)
Fated,+25% Chance to Find Magic Items
Fearsome,+14% Melee Resistance
Feral,+4% Nature Magic Damage
Ferocious,+12% Nature Magic Damage
Fine,+33% Damage (Ranged)
Flaming,Adds 16 to 20 Fire Damage
Formidable,+5% Melee resistance
Fortified,+40 Armor
Fortunate,+4% Chance to Find Magic Items
Frigid,Adds 8 to 14 Ice Damage
Frosted,Adds 3 to 4 Ice Damage
Frozen,Adds 13 to 22 Ice Damage
Fusillier's,"+4 to Quick Draw, +4 to Bleed, +4 to Penetrate"
Glacial,Adds 19 to 32 Ice Damage
Glimmering,Adds 2 to 5 Lightning Damage
Glittering,+5% Gold Dropped
Glowing,Adds 4 to 12 Lightning Damage
Grim,Adds 4 to 6 Death Damage
Gruesome,Adds 16 to 28 Death Damage
Hardened,+15 Armor
Heartless,+25% Damage (Melee)
Heated,Adds 3 to 3 Fire Damage
Honed,+15% Damage (Ranged)
Hurricane's,"+4 to Critical Strike, +4 to Dual Wield, +4 to Alacrity"
Icy,Adds 8 to 14 Ice Damage
Igneous,Adds 16 to 20 Fire Damage
Impenetrable,+52 Armor
Imperial,+7% Melee and Ranged Resistance
