Suffixes,Effects,,,,,,,,,,,,,,,,,
Accuracy,+1 Max Damage (Ranged),,,,,,,,,,"{suffix: """,Accuracy,"""",", effect: ","""",+1 Max Damage (Ranged),"""},","{suffix: ""Accuracy"", effect: ""+1 Max Damage (Ranged)""},"
Acumen,+16 Intelligence,,,,,,,,,,"{suffix: """,Acumen,"""",", effect: ","""",+16 Intelligence,"""},","{suffix: ""Acumen"", effect: ""+16 Intelligence""},"
Adroitness,+76 Dexterity,,,,,,,,,,"{suffix: """,Adroitness,"""",", effect: ","""",+76 Dexterity,"""},","{suffix: ""Adroitness"", effect: ""+76 Dexterity""},"
Affliction,+3 Min Damage (Melee),,,,,,,,,,"{suffix: """,Affliction,"""",", effect: ","""",+3 Min Damage (Melee),"""},","{suffix: ""Affliction"", effect: ""+3 Min Damage (Melee)""},"
Awakening,+10% Mana Regeneration,,,,,,,,,,"{suffix: """,Awakening,"""",", effect: ","""",+10% Mana Regeneration,"""},","{suffix: ""Awakening"", effect: ""+10% Mana Regeneration""},"
Awareness,+1 Intelligence,,,,,,,,,,"{suffix: """,Awareness,"""",", effect: ","""",+1 Intelligence,"""},","{suffix: ""Awareness"", effect: ""+1 Intelligence""},"
Badger,+24 Health,,,,,,,,,,"{suffix: """,Badger,"""",", effect: ","""",+24 Health,"""},","{suffix: ""Badger"", effect: ""+24 Health""},"
Bear,+188 Health,,,,,,,,,,"{suffix: """,Bear,"""",", effect: ","""",+188 Health,"""},","{suffix: ""Bear"", effect: ""+188 Health""},"
Blood,8% Health Steal,,,,,,,,,,"{suffix: """,Blood,"""",", effect: ","""",8% Health Steal,"""},","{suffix: ""Blood"", effect: ""8% Health Steal""},"
Boar,+67 Health,,,,,,,,,,"{suffix: """,Boar,"""",", effect: ","""",+67 Health,"""},","{suffix: ""Boar"", effect: ""+67 Health""},"
Boring,+9 Min Damage (Ranged),,,,,,,,,,"{suffix: """,Boring,"""",", effect: ","""",+9 Min Damage (Ranged),"""},","{suffix: ""Boring"", effect: ""+9 Min Damage (Ranged)""},"
Brightening,+4% Mana regeneration,,,,,,,,,,"{suffix: """,Brightening,"""",", effect: ","""",+4% Mana regeneration,"""},","{suffix: ""Brightening"", effect: ""+4% Mana regeneration""},"
Brilliance,+33 Intelligence,,,,,,,,,,"{suffix: """,Brilliance,"""",", effect: ","""",+33 Intelligence,"""},","{suffix: ""Brilliance"", effect: ""+33 Intelligence""},"
Calamity,+13 Min Damage (Melee),,,,,,,,,,"{suffix: """,Calamity,"""",", effect: ","""",+13 Min Damage (Melee),"""},","{suffix: ""Calamity"", effect: ""+13 Min Damage (Melee)""},"
Candlelight,Restores 2 Mana Per Hit,,,,,,,,,,"{suffix: """,Candlelight,"""",", effect: ","""",Restores 2 Mana Per Hit,"""},","{suffix: ""Candlelight"", effect: ""Restores 2 Mana Per Hit""},"
Colossus,+72 Strength,,,,,,,,,,"{suffix: """,Colossus,"""",", effect: ","""",+72 Strength,"""},","{suffix: ""Colossus"", effect: ""+72 Strength""},"
Consumption,Restores 2 Health Per Hit,,,,,,,,,,"{suffix: """,Consumption,"""",", effect: ","""",Restores 2 Health Per Hit,"""},","{suffix: ""Consumption"", effect: ""Restores 2 Health Per Hit""},"
Daylight,Restores 14 Mana Per Hit,,,,,,,,,,"{suffix: """,Daylight,"""",", effect: ","""",Restores 14 Mana Per Hit,"""},","{suffix: ""Daylight"", effect: ""Restores 14 Mana Per Hit""},"
Defense,+20% Chance to Block Ranged Attack,,,,,,,,,,"{suffix: """,Defense,"""",", effect: ","""",+20% Chance to Block Ranged Attack,"""},","{suffix: ""Defense"", effect: ""+20% Chance to Block Ranged Attack""},"
Deflection,+5% Chance to Block Ranged Attack,,,,,,,,,,"{suffix: """,Deflection,"""",", effect: ","""",+5% Chance to Block Ranged Attack,"""},","{suffix: ""Deflection"", effect: ""+5% Chance to Block Ranged Attack""},"
Deftness,+57 Dexterity,,,,,,,,,,"{suffix: """,Deftness,"""",", effect: ","""",+57 Dexterity,"""},","{suffix: ""Deftness"", effect: ""+57 Dexterity""},"
Desolation,+18 Min Damage (Melee),,,,,,,,,,"{suffix: """,Desolation,"""",", effect: ","""",+18 Min Damage (Melee),"""},","{suffix: ""Desolation"", effect: ""+18 Min Damage (Melee)""},"
Devouring,Restores 23 Health Per Hit,,,,,,,,,,"{suffix: """,Devouring,"""",", effect: ","""",Restores 23 Health Per Hit,"""},","{suffix: ""Devouring"", effect: ""Restores 23 Health Per Hit""},"
Disaster,+4 Min Damage (Melee),,,,,,,,,,"{suffix: """,Disaster,"""",", effect: ","""",+4 Min Damage (Melee),"""},","{suffix: ""Disaster"", effect: ""+4 Min Damage (Melee)""},"
Dragon,+274 Mana,,,,,,,,,,"{suffix: """,Dragon,"""",", effect: ","""",+274 Mana,"""},","{suffix: ""Dragon"", effect: ""+274 Mana""},"
Driving,+4 Min Damage (Ranged),,,,,,,,,,"{suffix: """,Driving,"""",", effect: ","""",+4 Min Damage (Ranged),"""},","{suffix: ""Driving"", effect: ""+4 Min Damage (Ranged)""},"
Eagle,+30 Mana,,,,,,,,,,"{suffix: """,Eagle,"""",", effect: ","""",+30 Mana,"""},","{suffix: ""Eagle"", effect: ""+30 Mana""},"
Effortlessness,+100 Dexterity,,,,,,,,,,"{suffix: """,Effortlessness,"""",", effect: ","""",+100 Dexterity,"""},","{suffix: ""Effortlessness"", effect: ""+100 Dexterity""},"
Enlightenment,+45 Intelligence,,,,,,,,,,"{suffix: """,Enlightenment,"""",", effect: ","""",+45 Intelligence,"""},","{suffix: ""Enlightenment"", effect: ""+45 Intelligence""},"
Expertise,+27 Dexterity,,,,,,,,,,"{suffix: """,Expertise,"""",", effect: ","""",+27 Dexterity,"""},","{suffix: ""Expertise"", effect: ""+27 Dexterity""},"
Falcon,+59 Mana,,,,,,,,,,"{suffix: """,Falcon,"""",", effect: ","""",+59 Mana,"""},","{suffix: ""Falcon"", effect: ""+59 Mana""},"
Feasting,Restores 14 Health Per Hit,,,,,,,,,,"{suffix: """,Feasting,"""",", effect: ","""",Restores 14 Health Per Hit,"""},","{suffix: ""Feasting"", effect: ""Restores 14 Health Per Hit""},"
Finesse,+40 Dexterity,,,,,,,,,,"{suffix: """,Finesse,"""",", effect: ","""",+40 Dexterity,"""},","{suffix: ""Finesse"", effect: ""+40 Dexterity""},"
Focus,+4 Max Damage (Ranged),,,,,,,,,,"{suffix: """,Focus,"""",", effect: ","""",+4 Max Damage (Ranged),"""},","{suffix: ""Focus"", effect: ""+4 Max Damage (Ranged)""},"
Force,+20 Strength,,,,,,,,,,"{suffix: """,Force,"""",", effect: ","""",+20 Strength,"""},","{suffix: ""Force"", effect: ""+20 Strength""},"
Foresight,+10 Intelligence,,,,,,,,,,"{suffix: """,Foresight,"""",", effect: ","""",+10 Intelligence,"""},","{suffix: ""Foresight"", effect: ""+10 Intelligence""},"
Fox,+15 Health,,,,,,,,,,"{suffix: """,Fox,"""",", effect: ","""",+15 Health,"""},","{suffix: ""Fox"", effect: ""+15 Health""},"
Ghost,5% Mana Steal,,,,,,,,,,"{suffix: """,Ghost,"""",", effect: ","""",5% Mana Steal,"""},","{suffix: ""Ghost"", effect: ""5% Mana Steal""},"
Gorging,Restores 6 Health Per Hit,,,,,,,,,,"{suffix: """,Gorging,"""",", effect: ","""",Restores 6 Health Per Hit,"""},","{suffix: ""Gorging"", effect: ""Restores 6 Health Per Hit""},"
